vocab,type,meaning,weight
absent,adj,"缺席的,不在場的",0
active,adj,活躍的,0
alike,adj,相似的,0
alive,adj,活著的;活躍的,0
ancient,adj,古代的,0
asleep,adj,睡著的,0
backward,adj,向後的;落後的,0
believable,adj,可信的,0
bitter,adj,苦的;嚴酷的,0
blank,adj,"空白的;空的,無內容的;茫然的",0
blind,adj,瞎的,0
bloody,adj,流血的,0
bony,adj,骨的;似骨的,0
brief,adj,短暫的,0
broad,adj,寬廣的,0
calm,adj,寧靜的,0
central,adj,中央的,0
cheap,adj,便宜的,0
chemical,adj,化學的,0
childish,adj,幼稚的,0
childlike,adj,天真爛漫的,0
choice,adj,"上等的,精選的;挑三揀四的",0
classic,adj,典型的;古典的,0
clever,adj,聰明伶俐的,0
cloudy,adj,多雲的;陰天的,0
colorful,adj,富有色彩的,0
comfortable,adj,舒適的,0
complete,adj,完整的；徹底的,0
convenient,adj,方便的,0
costly,adj,昂貴的;代價高的,0
crazy,adj,古怪的;著迷的,0
cream,adj,"奶油色的,淡黃色的,乳黃色的",0
cruel,adj,殘酷的,0
curious,adj,好奇的,0
daily,adj,每日的,0
dangerous,adj,危險的,0
deaf,adj,聾的,0
delicious,adj,好吃的,0
dishonest,adj,不誠實的,0
distant,adj,遠離的,0
dizzy,adj,暈眩的,0
double,adj,雙重的,0
downtown,adj,城市商業區的,0
dull,adj,晦暗的;無光澤的,0
dumb,adj,愚笨的;啞的,0
eastern,adj,東方的,0
effective,adj,有效的,0
elder,adj,年紀較長的,0
elect,adj,"選定的,當選的",0
entire,adj,"全部的,整個的",0
exact,adj,"確切的,精確的",0
excellent,adj,非常好的,0
expensive,adj,貴的,0
expert,adj,"熟練的,老練的;專家的",0
express,adj,"快遞的,快運的;明確的",0
extra,adj,額外的,0
fair,adj,公平的;美好的,0
famous,adj,著名的,0
favorite,adj,最喜愛的,0
fearful,adj,可怕的;害怕的,0
female,adj,女性的,0
firm,adj,牢固的,0
fit,adj,適合的;恰當的;相稱的;能勝任的,0
flat,adj,平的,0
foggy,adj,有霧的,0
following,adj,"接著的,其次的;下面的",0
foolish,adj,愚蠢的,0
formal,adj,正式的,0
former,adj,前者,0
forward,adj,前面的,0
frank,adj,坦白的,0
friendly,adj,友善的,0
further,adj,較遠的;另外的,0
future,adj,"未來的,將來的;將來(時)的",0
generous,adj,慷慨的,0
gentle,adj,溫柔的,0
giant,adj,巨大的,0
golden,adj,金色的,0
grassy,adj,長滿草的;似草的,0
greedy,adj,貪心的,0
handsome,adj,英俊的,0
hateful,adj,可恨的;充滿憎恨的,0
healthy,adj,健康的,0
helpful,adj,有益的,0
homesick,adj,想家的,0
honest,adj,誠實的,0
humble,adj,謙恭的;微賤的,0
humid,adj,潮濕的,0
ill,adj,生病的,0
independent,adj,獨立的,0
instant,adj,即時的,0
international,adj,國際的,0
joint,adj,接頭;連接,0
juicy,adj,多汁的,0
latest,adj,最新的;最近的;最遲的,0
legal,adj,合法的,0
local,adj,本地的,0
lone,adj,孤單的;無伴的,0
lonely,adj,寂寞的,0
lovely,adj,動人的,0
magic,adj,不可思議的;有魔力的,0
main,adj,最主要的,0
male,adj,男性的,0
measurable,adj,可測量的;可預見的,0
military,adj,軍事的,0
minus,adj,"負的,減去的",0
modern,adj,現代的,0
movable,adj,"可動的,可移動的",0
naked,adj,裸體的,0
narrow,adj,窄的,0
national,adj,國家的,0
natural,adj,天然的,0
naughty,adj,頑皮的,0
nearby,adj,附近的,0
neat,adj,整潔的;整齊的,0
necessary,adj,需要的,0
negative,adj,否定的;負面的,0
neither,adj,兩者都不,0
northern,adj,北方的;向北方的,0
novel,adj,"新的,新穎的,新奇的",0
official,adj,"官方的,法定的",0
ordinary,adj,平常的,0
overseas,adj,國外的,0
painful,adj,痛的,0
particular,adj,特殊的;,0
patient,adj,"有耐心的,能忍受的",0
peaceful,adj,寧靜的;和平的,0
perfect,adj,完美的,0
personal,adj,個人的,0
pink,adj,粉紅色的,0
plain,adj,簡樸的;清楚的,0
playful,adj,愛玩耍的;開玩笑的,0
pleasant,adj,愉快的;美好的,0
plus,adj,正的;外加的;有益的;陽性的;正電的,0
polite,adj,有禮貌的,0
popular,adj,流行的;受歡迎的,0
positive,adj,正面的;確信的,0
powerful,adj,強有力的,0
present,adj,出席的;當前的;現在式的,0
principal,adj,"主要的,首要的;資本的,本金的",0
private,adj,私人的,0
proud,adj,感光榮的;驕傲的,0
rainy,adj,下雨的;多雨的,0
rapid,adj,迅速的,0
rare,adj,罕見的,0
recent,adj,最近的,0
regular,adj,通常的;定期的,0
responsible,adj,負責任的,0
rocky,adj,岩石的;多岩石的,0
royal,adj,皇家的,0
rude,adj,無禮的,0
salty,adj,有鹽分的;鹹味濃的,0
secret,adj,"神祕的,奧祕的",0
select,adj,精選的;卓越的,0
separate,adj,"單獨的,個別的",0
serious,adj,嚴肅的;嚴重的;認真的,0
shocked,adj,震驚的,0
silent,adj,寂靜的,0
similar,adj,相似的,0
single,adj,單一的;獨身的,0
skilled,adj,熟練的;有技能的,0
skillful,adj,"有技術的, 熟練的",0
skinny,adj,很瘦的,0
sleepy,adj,想睡的,0
slender,adj,纖細的,0
slim,adj,細長的;微小的,0
snowy,adj,似雪的;多雪的,0
social,adj,社會的;交際的,0
southern,adj,南方的;向南方的,0
square,adj,正方形的,0
standard,adj,一般性的,0
straight,adj,直的,0
strict,adj,"嚴謹的,精確的",0
successful,adj,成功的,0
sudden,adj,突然的,0
sunny,adj,晴朗的,0
talkative,adj,好說話的,0
tasty,adj,高雅的;大方的,0
teenage,adj,十幾歲的,0
terrible,adj,可怕的,0
terrific,adj,非常好的;可怕的,0
thick,adj,粗的;厚的,0
thin,adj,瘦的,0
thirsty,adj,口渴的,0
traditional,adj,傳統的,0
ugly,adj,醜的,0
uniform,adj,"相同的,一致的;不變的",0
upper,adj,較高的,0
used,adj,習慣於; 舊的;用舊了的,0
usual,adj,例常的,0
video,adj,電視的;電視影像的;錄影的,0
western,adj,西方的,0
wet,adj,潮溼的,0
whatever,adj,無論怎麼的,0
wild,adj,野生的;無法無天的,0
willing,adj,"願意的,樂意的",0
windy,adj,多風的,0
wise,adj,有智慧的,0
wonderful,adj,很棒的;奇妙的,0
wooden,adj,木製的;僵硬的;笨拙的,0
absent,v,缺席,0
accept,v,接受,0
advance,v,推進;提升;貸(款),0
aid,v,有助於,0
aim,v,"瞄準,對準",0
alarm,v,向...報警;使驚慌不安,0
amount,v,"合計,共計",0
apply,v,"塗,敷;應用",0
argue,v,爭論,0
arm,v,"用武器裝備;提供,配備; 武裝起來",0
arrange,v,排列;整理,0
arrest,v,逮捕;拘留,0
arrive,v,到達,0
attack,v,進攻;襲擊,0
attend,v,"出席,參加;照料;伴隨",0
avoid,v,避免,0
baby-sit,v,當臨時保姆,0
bake,v,烘;烤,0
barbecue,v,"(在戶外)烤,炙(肉類)",0
bark,v,狗叫,0
battle,v,與...作戰,0
BBQ,v,烤肉 barbecue,0
bead,v,用珠裝飾,0
bear,v,承受,0
